titleId	ordering	title	region	language	types	attributes	isOriginalTitle
tt0120589	1	A Dangerous Practice	US	\N	imdbDisplay	\N	0
tt0120589	2	A Dangerous Practice	GB	\N	imdbDisplay	\N	0
tt0120589	3	Predestinado: Arigó e o Espírito do Dr. Fritz	\N	\N	alternative	\N	0
tt0120589	4	A Dangerous Practice	\N	\N	original	\N	1
tt0120589	5	Predestinado, Arigó e o Espírito do Dr. Fritz	BR	\N	imdbDisplay	\N	0
tt0120589	6	Niebezpieczne praktyki	PL	\N	imdbDisplay	\N	0
tt0265705	1	Jang e Dinasourha	IR	fa	imdbDisplay	\N	0
tt0265705	2	Saurians	\N	\N	original	\N	1
tt0265705	3	Saurians	US	\N	imdbDisplay	\N	0
tt0326716	1	5-25-77	US	\N	imdbDisplay	\N	0
tt0326716	2	'77	GB	\N	imdbDisplay	\N	0
tt0326716	3	5-25-77	CA	fr	imdbDisplay	\N	0
tt0326716	4	'77	\N	\N	original	\N	1
tt0326716	5	5-25-77	CA	en	imdbDisplay	\N	0
tt0400871	1	Take Out	\N	\N	original	\N	1
tt0400871	2	Take Out	GB	\N	imdbDisplay	\N	0
tt0400871	3	Take Out	US	\N	imdbDisplay	\N	0
tt0426522	1	Making Angels	US	\N	\N	\N	0
tt0451272	1	Wicked	GB	\N	working	\N	0
tt0451272	2	Nefarious	DE	\N	imdbDisplay	\N	0
tt0451272	3	Nefarious	GB	\N	imdbDisplay	\N	0
tt0451272	4	Nefarious	\N	\N	original	\N	1
tt0451272	5	Nefarious	US	\N	imdbDisplay	\N	0
tt0781524	1	Vendetta	\N	\N	original	\N	1
tt0781524	2	Vendetta	GB	\N	imdbDisplay	\N	0
tt0781524	3	Memories of Murder	US	\N	working	\N	0
tt0781524	4	Vendetta	US	\N	working	\N	0
tt0808491	1	The Swarm	\N	\N	original	\N	1
tt0808491	2	The Swarm	XWW	en	\N	\N	0
tt0808491	3	Der Schwarm	AT	\N	imdbDisplay	\N	0
tt0808491	4	Der Schwarm	DE	\N	imdbDisplay	\N	0
tt0808491	5	Der Schwarm	CH	de	imdbDisplay	\N	0
tt0887261	1	Hellraiser	CA	fr	imdbDisplay	\N	0
tt0887261	2	Hellraiser	US	\N	imdbDisplay	\N	0
tt0887261	3	Clive Barker Presents Hellraiser	US	\N	\N	complete title	0
tt0887261	4	Hellraiser	GB	\N	imdbDisplay	\N	0
tt0887261	5	Hellraiser	\N	\N	original	\N	1
tt0887261	6	Hellraiser	IN	en	imdbDisplay	\N	0
tt0887261	7	Hellraiser	CA	en	imdbDisplay	\N	0
tt0933054	1	Jazz in Poland	\N	\N	original	\N	1
tt0933054	2	Jazz in Poland	US	\N	imdbDisplay	\N	0
tt0933054	3	Jazz in Poland	PL	\N	imdbDisplay	\N	0
tt0965381	1	Untitled Milli Vanilli Project	\N	\N	working	\N	0
tt0965381	2	Milli Vanilli	\N	\N	original	\N	1
tt0965381	3	Milli Vanilli	US	\N	\N	\N	0
tt10011306	10	Spriggan	EC	\N	imdbDisplay	\N	0
tt10011306	11	Spriggan	US	\N	imdbDisplay	\N	0
tt10011306	12	Σπρίγκαν	GR	\N	imdbDisplay	\N	0
tt10011306	13	Spriggan	SG	en	imdbDisplay	\N	0
tt10011306	14	Спріґґан	UA	\N	imdbDisplay	\N	0
tt10011306	15	Spriggan	DE	\N	imdbDisplay	\N	0
tt10011306	16	Spriggan	CA	en	imdbDisplay	\N	0
tt10011306	17	스프리건	KR	\N	imdbDisplay	\N	0
tt10011306	18	Spriggan	IE	en	imdbDisplay	\N	0
tt10011306	19	Spriggan	\N	\N	original	\N	1
tt10011306	1	สปริกกัน	TH	en	imdbDisplay	\N	0
tt10011306	20	Spriggan	TR	tr	imdbDisplay	\N	0
tt10011306	21	Spriggan	JP	en	imdbDisplay	\N	0
tt10011306	22	Spriggan	ES	\N	imdbDisplay	\N	0
