titleId	ordering	title	region	language	types	attributes	isOriginalTitle
tt0068646	10	Natlimama	GE	\N	imdbDisplay	\N	0
tt0068646	11	ゴッドファーザー	JP	ja	imdbDisplay	\N	0
tt0068646	12	The Godfather	QA	\N	\N	new title	0
tt0068646	13	De peetvader	BE	qbn	imdbDisplay	\N	0
tt0068646	14	Mario Puzo's The Godfather	US	\N	\N	complete title	0
tt0068646	15	The Godfather	IN	en	imdbDisplay	\N	0
tt0068646	16	Der Pate	DE	\N	imdbDisplay	\N	0
tt0068646	17	Крёстный отец	RU	\N	imdbDisplay	\N	0
tt0068646	18	The Godfather	IN	hi	imdbDisplay	\N	0
tt0068646	19	Le parrain	CA	fr	imdbDisplay	\N	0
tt0068646	1	The Godfather	GB	\N	imdbDisplay	\N	0
tt0068646	20	Krstný Otec	CSHH	sk	imdbDisplay	\N	0
tt0068646	21	Le Parrain	FR	\N	imdbDisplay	\N	0
tt0068646	22	教父	CN	cmn	imdbDisplay	\N	0
tt0068646	23	The Godfather	ID	en	imdbDisplay	\N	0
tt0068646	24	Nașul	RO	\N	imdbDisplay	\N	0
tt0068646	25	Al aab Alrohy	EG	ar	alternative	\N	0
tt0068646	26	Gudfadern	SE	\N	imdbDisplay	\N	0
tt0068646	27	Ristiisa	EE	\N	imdbDisplay	\N	0
tt0068646	28	The Godfather	\N	\N	original	\N	1
tt0068646	29	Godfather	DK	\N	imdbDisplay	\N	0
tt0068646	2	A keresztapa	HU	\N	imdbDisplay	\N	0
tt0068646	30	Ojciec chrzestny	PL	\N	imdbDisplay	\N	0
tt0068646	31	The Godfather	HK	en	imdbDisplay	\N	0
tt0068646	32	Cho'qintirgan ota	UZ	\N	imdbDisplay	\N	0
tt0068646	33	Der Pate	XWG	\N	imdbDisplay	\N	0
tt0068646	34	O nonos	GR	\N	\N	transliterated title	0
tt0068646	35	The Godfather	IE	en	imdbDisplay	\N	0
tt0068646	36	The Godfather	AE	\N	imdbDisplay	\N	0
tt0068646	37	The Godfather	CA	en	imdbDisplay	\N	0
tt0068646	38	El Padrino	UY	\N	imdbDisplay	\N	0
tt0068646	39	De peetvader	NL	\N	\N	informal literal title	0
tt0068646	3	Kmotr	CZ	\N	imdbDisplay	\N	0
tt0068646	40	El padrí	ES	ca	imdbDisplay	\N	0
tt0068646	41	O Poderoso Chefão	BR	\N	imdbDisplay	\N	0
tt0068646	42	Кръстникът	BG	bg	imdbDisplay	\N	0
tt0068646	43	Il padrino	IT	\N	imdbDisplay	\N	0
tt0068646	44	The Godfather	AU	\N	imdbDisplay	\N	0
tt0068646	45	El padrino	ES	\N	imdbDisplay	\N	0
tt0068646	46	Guðfaðirinn	IS	\N	imdbDisplay	\N	0
tt0068646	47	El Padrino	AR	\N	imdbDisplay	\N	0
tt0068646	48	The Godfather	SG	en	imdbDisplay	\N	0
tt0068646	49	Daeboo	KR	\N	imdbDisplay	\N	0
tt0068646	4	Gudfaren	NO	\N	imdbDisplay	\N	0
tt0068646	50	Кум	RS	\N	imdbDisplay	\N	0
tt0068646	51	Goddofâzâ	JP	\N	imdbDisplay	\N	0
tt0068646	52	Der Pate	AT	\N	imdbDisplay	\N	0
tt0068646	53	Boter	SI	\N	imdbDisplay	\N	0
tt0068646	54	The Godfather	XWW	en	imdbDisplay	\N	0
tt0068646	55	Kumbari	AL	\N	imdbDisplay	\N	0
tt0068646	56	The Godfather	IL	en	imdbDisplay	\N	0
tt0068646	57	เดอะ ก็อดฟาเธอร์ ภาค 1	TH	en	imdbDisplay	\N	0
tt0068646	58	El padrino	EC	\N	imdbDisplay	\N	0
tt0068646	59	Kum	XYU	sr	imdbDisplay	\N	0
tt0068646	5	Крестный отец	SUHH	ru	imdbDisplay	\N	0
tt0068646	60	Pedar khandeh	IR	fa	imdbDisplay	\N	0
tt0068646	61	Хрещений батько	UA	\N	imdbDisplay	\N	0
tt0068646	62	The Godfather	GT	\N	\N	new title	0
tt0068646	63	Godfather	JP	en	imdbDisplay	\N	0
tt0068646	64	Baba	TR	tr	imdbDisplay	\N	0
tt0068646	65	Kum	HR	\N	imdbDisplay	\N	0
tt0068646	66	Hasandak	IL	he	imdbDisplay	\N	0
tt0068646	67	Krikštatėvis	LT	\N	imdbDisplay	\N	0
tt0068646	68	El padrino	VE	\N	imdbDisplay	\N	0
tt0068646	69	The Godfather	PH	en	imdbDisplay	\N	0
tt0068646	6	Kmotr	CSHH	cs	imdbDisplay	\N	0
tt0068646	70	教父	TW	\N	imdbDisplay	\N	0
tt0068646	71	Bố Già	VN	\N	imdbDisplay	\N	0
tt0068646	72	Krusttēvs	LV	\N	imdbDisplay	\N	0
tt0068646	73	The Godfather	US	\N	imdbDisplay	\N	0
tt0068646	74	El padrino	PE	\N	imdbDisplay	\N	0
tt0068646	75	El Padrino	CO	\N	imdbDisplay	\N	0
tt0068646	76	Al-arraab	EG	ar	imdbDisplay	\N	0
tt0068646	77	Ο νονός	GR	\N	imdbDisplay	\N	0
